,Date,Eat_Total,AvgPiecesPerShark,Drop_Total,AvgDropsPerShark,Target_Total,AvgTargetsPerShark,SharkCount,Temperature,Temperature_Rounded,Saury,Blue Runner,Squid,Mackerel,Herring,Sardine,Mazuri Vitamins,Garlic,Salmon,Bonito,Bluefish,Mahi,Goggle Eye,Humbolt Squid,food_combo
0,2017-12-05,33,2.75,3,0.25,22,1.8333333330000001,12,73.2,73,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
1,2017-12-07,3,0.25,10,0.833333333,30,2.5,12,73.2,73,0,1,1,1,0,0,1,1,0,0,0,0,0,0,Blue Runner_Squid_Mackerel
2,2017-12-09,6,1.2,1,0.2,8,1.6,5,73.6,74,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
3,2017-12-10,14,2.0,1,0.14285714300000002,15,2.142857143,7,73.6,74,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
4,2017-12-12,27,2.25,3,0.25,26,2.166666667,12,73.4,73,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
5,2017-12-14,30,2.5,4,0.333333333,23,1.9166666669999999,12,73.0,73,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Blue Runner_Squid
6,2017-12-16,1,0.2,12,2.4,11,2.2,5,74.0,74,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Herring
7,2017-12-17,11,1.571428571,6,0.857142857,24,3.428571429,7,73.2,73,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Mackerel
8,2017-12-19,27,2.25,26,2.166666667,28,2.333333333,12,73.2,73,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
9,2017-12-21,13,1.083333333,5,0.41666666700000005,34,2.833333333,12,73.6,74,0,1,0,0,0,0,1,1,0,0,0,0,0,0,Blue Runner
10,2017-12-23,8,1.6,3,0.6,12,2.4,5,74.8,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Herring
11,2017-12-24,15,2.142857143,1,0.14285714300000002,38,5.428571429,7,73.4,73,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Mackerel
12,2017-12-26,27,2.25,6,0.5,43,3.583333333,12,74.4,74,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
13,2017-12-28,15,1.25,4,0.333333333,32,2.666666667,12,73.8,74,0,1,0,0,0,0,1,1,0,0,0,0,0,0,Blue Runner
14,2017-12-30,10,2.0,1,0.2,19,3.8,5,74.6,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Herring
15,2017-12-31,16,2.285714286,1,0.14285714300000002,49,7.0,7,74.6,75,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
16,2018-01-02,27,2.25,3,0.25,53,4.416666667,12,74.6,75,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
17,2018-01-04,17,1.4166666669999999,3,0.25,31,2.583333333,12,74.6,75,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Blue Runner_Squid
18,2018-01-06,10,2.0,1,0.2,9,1.8,5,74.8,75,0,0,0,0,1, ,0,1,0,0,0,0,0,0,Herring
19,2018-01-07,12,1.714285714,6,0.857142857,30,4.285714286,7,74.4,74,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
20,2018-01-09,23,1.9166666669999999,4,0.333333333,43,3.583333333,12,73.8,74,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
21,2018-01-11,15,1.25,3,0.25,55,4.583333333,12,73.2,73,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Blue Runner_Squid
22,2018-01-13,7,1.4,1,0.2,10,2.0,5,75.0,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Herring
23,2018-01-14,13,1.857142857,0,0.0,37,5.285714286,7,74.0,74,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
24,2018-01-16,24,2.0,8,0.666666667,48,4.0,12,73.8,74,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
25,2018-01-18,16,1.333333333,7,0.583333333,63,5.25,12,73.2,73,0,1,1,0,0,0,1,1,0,0,0,0,0,0,Blue Runner_Squid
26,2018-01-20,13,2.6,1,0.2,20,4.0,5,74.4,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Herring
27,2018-01-21,8,1.142857143,3,0.428571429,38,5.428571429,7,73.0,73,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Mackerel
28,2018-01-23,16,1.333333333,5,0.41666666700000005,70,5.833333333,12,72.6,73,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Saury
29,2018-01-25,14,1.166666667,3,0.25,40,3.333333333,12,72.6,73,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Bluefish
30,2018-01-27,14,2.8,1,0.2,35,7.0,5,73.8,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Herring
