Date,Eat_Ross,Eat_Chandler,Eat_BT1,Eat_BT2,Eat_BT3,Eat_BT4,Eat_BT5,Eat_GR1,Eat_GR2,Eat_GR3,Eat_GR4,Eat_GR5,Eat_Total,SharkCount,AvgPiecesPerShark,Drop_Ross,Drop_Chandler,Drop_BT1,Drop_BT2,Drop_BT3,Drop_BT4,Drop_BT5,Drop_GR1,Drop_GR2,Drop_GR3,Drop_GR4,Drop_GR5,Drop_Total,AvgDropsPerShark,Target_Ross,Target_Chandler,Target_BT1,Target_BT2,Target_BT3,Target_BT4,Target_BT5,Target_GR1,Target_GR2,Target_GR3,Target_GR4,Target_GR5,Target_Total,AvgTargetsPerShark,Temperature,Saury,Blue Runner,Squid,Mackerel,Herring,Sardine,Mazuri Vitamins,Garlic,Salmon,Bonito,Bluefish,Mahi,Goggle Eye,Humbolt Squid,BT/SB Location (1-6),GR Location (1-6)
2017-12-05,0.0,5.0,3.0,6.0,5.0,4.0,4.0,0.0,0.0,2.0,3.0,1.0,33,12.0,2.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3,0.25,3.0,0.0,4.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,0.0,22,1.8333333333333333,73.2,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2017-12-07,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,12.0,0.25,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,10,0.8333333333333334,4.0,5.0,2.0,2.0,5.0,3.0,5.0,0.0,0.0,2.0,2.0,0.0,30,2.5,73.2,0.0,1.0,1.0,1.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2017-12-09,,,,,,,,2.0,0.0,3.0,1.0,0.0,6,5.0,1.2,,,,,,,,0.0,1.0,0.0,0.0,0.0,1,0.2,,,,,,,,1.0,3.0,1.0,0.0,3.0,8,1.6,73.6,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0
2017-12-10,5.0,1.0,1.0,3.0,2.0,2.0,0.0,,,,,,14,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,1,0.14285714285714285,4.0,7.0,0.0,2.0,2.0,0.0,0.0,,,,,,15,2.142857142857143,73.6,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2017-12-12,2.0,2.0,0.0,5.0,2.0,4.0,5.0,0.0,2.0,3.0,2.0,0.0,27,12.0,2.25,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,0.25,3.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,26,2.1666666666666665,73.4,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2017-12-14,9.0,0.0,1.0,1.0,0.0,4.0,2.0,3.0,2.0,4.0,2.0,2.0,30,12.0,2.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4,0.3333333333333333,1.0,2.0,2.0,0.0,4.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,23,1.9166666666666667,73.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2017-12-16,,,,,,,,0.0,0.0,0.0,0.0,1.0,1,5.0,0.2,,,,,,,,1.0,3.0,4.0,3.0,1.0,12,2.4,,,,,,,,1.0,2.0,3.0,4.0,1.0,11,2.2,74.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2.0
2017-12-17,1.0,1.0,1.0,3.0,1.0,2.0,2.0,,,,,,11,7.0,1.5714285714285714,0.0,1.0,1.0,0.0,1.0,1.0,2.0,,,,,,6,0.8571428571428571,3.0,6.0,1.0,3.0,6.0,4.0,1.0,,,,,,24,3.4285714285714284,73.2,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2017-12-19,2.0,3.0,5.0,2.0,3.0,0.0,3.0,5.0,0.0,3.0,1.0,0.0,27,12.0,2.25,2.0,3.0,5.0,2.0,2.0,0.0,5.0,2.0,0.0,3.0,2.0,0.0,26,2.1666666666666665,5.0,4.0,3.0,3.0,3.0,0.0,3.0,0.0,1.0,6.0,0.0,0.0,28,2.3333333333333335,73.2,1.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2017-12-21,4.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,13,12.0,1.0833333333333333,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,5,0.4166666666666667,6.0,10.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,5.0,0.0,2.0,34,2.8333333333333335,73.6,0.0,1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
