,Date,Week_Day,Eat_Ross,Eat_Chandler,Eat_BT1,Eat_BT2,Eat_BT3,Eat_BT4,Eat_BT5,Eat_GR1,Eat_GR2,Eat_GR3,Eat_GR4,Eat_GR5,Eat_Total,SharkCount,AvgPiecesPerShark,Drop_Ross,Drop_Chandler,Drop_BT1,Drop_BT2,Drop_BT3,Drop_BT4,Drop_BT5,Drop_GR1,Drop_GR2,Drop_GR3,Drop_GR4,Drop_GR5,Drop_Total,AvgDropsPerShark,Target_Ross,Target_Chandler,Target_BT1,Target_BT2,Target_BT3,Target_BT4,Target_BT5,Target_GR1,Target_GR2,Target_GR3,Target_GR4,Target_GR5,Target_Total,AvgTargetsPerShark,Temperature,Temperature_Rounded,Saury,Blue Runner,Squid,Mackerel,Herring,Sardine,Mazuri Vitamins,Garlic,Salmon,Bonito,Bluefish,Mahi,Goggle Eye,Humbolt Squid,BT/SB Location (1-6),GR Location (1-6),food_combo,,,,,,,
0,12/5/2017,Tuesday,0,5,3,6,5,4,4,0,0,2,3,1,33,12,2.75,0,0,0,0,0,1,0,0,0,1,1,0,3,0.25,3,0,4,3,0,2,2,1,1,3,3,0,22,1.833333333,73.2,73,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,Saury,,,,,,,
1,12/7/2017,Thursday,1,0,0,2,0,0,0,0,0,0,0,0,3,12,0.25,0,1,1,2,1,1,2,0,0,2,0,0,10,0.833333333,4,5,2,2,5,3,5,0,0,2,2,0,30,2.5,73.2,73,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,3,Blue Runner_Squid_Mackerel,,,,,,,
2,12/9/2017,Saturday,,,,,,,,2,0,3,1,0,6,5,1.2,,,,,,,,0,1,0,0,0,1,0.2,,,,,,,,1,3,1,0,3,8,1.6,73.6,74,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,3,Herring,,,,,,,
3,12/10/2017,Sunday,5,1,1,3,2,2,0,,,,,,14,7,2,0,0,0,0,0,0,1,,,,,,1,0.142857143,4,7,0,2,2,0,0,,,,,,15,2.142857143,73.6,74,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,,Mackerel,,,,,,,
4,12/12/2017,Tuesday,2,2,0,5,2,4,5,0,2,3,2,0,27,12,2.25,0,0,0,0,2,0,0,0,0,0,1,0,3,0.25,3,1,3,2,4,1,1,1,1,5,1,3,26,2.166666667,73.4,73,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,Saury,,,,,,,
5,12/14/2017,Thursday,9,0,1,1,0,4,2,3,2,4,2,2,30,12,2.5,0,0,0,2,0,0,0,0,1,1,0,0,4,0.333333333,1,2,2,0,4,1,3,2,1,4,2,1,23,1.916666667,73,73,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,3,Blue Runner_Squid,,,,,,,
6,12/16/2017,Saturday,,,,,,,,0,0,0,0,1,1,5,0.2,,,,,,,,1,3,4,3,1,12,2.4,,,,,,,,1,2,3,4,1,11,2.2,74,74,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,2,Herring,,,,,,,
7,12/17/2017,Sunday,1,1,1,3,1,2,2,,,,,,11,7,1.571428571,0,1,1,0,1,1,2,,,,,,6,0.857142857,3,6,1,3,6,4,1,,,,,,24,3.428571429,73.2,73,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,,Mackerel,,,,,,,
8,12/19/2017,Tuesday,2,3,5,2,3,0,3,5,0,3,1,0,27,12,2.25,2,3,5,2,2,0,5,2,0,3,2,0,26,2.166666667,5,4,3,3,3,0,3,0,1,6,0,0,28,2.333333333,73.2,73,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,Saury,,,,,,,
9,12/21/2017,Thursday,4,2,0,0,2,1,1,0,2,1,0,0,13,12,1.083333333,1,0,0,1,0,1,0,1,0,1,0,0,5,0.416666667,6,10,1,1,2,3,1,3,0,5,0,2,34,2.833333333,73.6,74,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,3,Blue Runner,,,,,,,
10,12/23/2017,Saturday,,,,,,,,2,1,2,1,2,8,5,1.6,,,,,,,,1,0,0,1,1,3,0.6,,,,,,,,1,3,3,2,3,12,2.4,74.8,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,3,Herring,,,,,,,
11,12/24/2017,Sunday,2,2,0,4,3,4,0,,,,,,15,7,2.142857143,0,0,0,0,0,1,0,,,,,,1,0.142857143,5,8,4,8,4,4,5,,,,,,38,5.428571429,73.4,73,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,,Mackerel,,,,,,,
12,12/26/2017,Tuesday,0,3,2,1,6,0,5,0,3,3,2,2,27,12,2.25,0,0,0,1,4,0,0,0,0,1,0,0,6,0.5,6,6,5,2,3,3,5,3,3,4,1,2,43,3.583333333,74.4,74,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,Saury,,,,,,,
13,12/28/2017,Thursday,1,2,0,3,1,4,3,0,0,0,0,1,15,12,1.25,1,0,0,2,0,1,0,0,0,0,0,0,4,0.333333333,3,5,2,1,5,3,1,1,5,3,2,1,32,2.666666667,73.8,74,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,3,Blue Runner,,,,,,,
14,12/30/2017,Saturday,,,,,,,,1,3,3,1,2,10,5,2,,,,,,,,1,0,0,0,0,1,0.2,,,,,,,,6,3,7,2,1,19,3.8,74.6,75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,2,Herring,,,,,,,
15,12/31/2017,Sunday,7,7,2,0,0,0,0,,,,,,16,7,2.285714286,0,0,1,0,0,0,0,,,,,,1,0.142857143,8,13,13,4,8,3,0,,,,,,49,7,74.6,75,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,,Mackerel,,,,,,,
16,1/2/2018,Tuesday,4,1,2,1,3,4,1,0,0,6,5,0,27,12,2.25,0,0,6,0,0,1,0,3,0,4,1,0,3,0.25,4,1,5,4,2,4,7,4,6,11,4,1,53,4.416666667,74.6,75,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,Saury,,,,,,,
17,1/4/2018,Thursday,5,0,1,3,0,0,2,0,2,2,0,2,17,12,1.416666667,0,0,2,0,0,0,1,0,0,0,0,0,3,0.25,4,1,2,3,4,6,4,2,0,3,0,2,31,2.583333333,74.6,75,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,3,Blue Runner_Squid,,,,,,,
18,1/6/2018,Saturday,,,,,,,,2,3,0,2,3,10,5,2,,,,,,,,0,1,0,0,0,1,0.2,,,,,,,,3,1,5,0,0,9,1.8,74.8,75,0,0,0,0,1, ,0,1,0,0,0,0,0,0,,3,Herring,,,,,,,
19,1/7/2018,Sunday,7,2,1,0,0,2,0,,,,,,12,7,1.714285714,0,0,1,2,1,1,1,,,,,,6,0.857142857,7,4,6,2,4,4,3,,,,,,30,4.285714286,74.4,74,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,,Mackerel,,,,,,,
20,1/9/2018,Tuesday,0,0,2,2,7,1,6,0,2,2,0,1,23,12,1.916666667,0,0,0,3,1,0,0,0,0,0,0,0,4,0.333333333,1,0,12,2,10,2,3,3,5,5,0,0,43,3.583333333,73.8,74,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,Saury,,,,,,,
21,1/11/2018,Thursday,1,1,2,6,0,1,1,0,0,1,1,1,15,12,1.25,0,0,0,0,1,1,1,0,0,0,0,0,3,0.25,13,11,2,5,5,7,6,2,1,3,0,0,55,4.583333333,73.2,73,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,3,Blue Runner_Squid,,,,,,,
